Country,Capital City,Latitude,Longitude,Population,Capital Type
瑞士,伯尔尼,46.9481,7.4474,422153,Capital
叙利亚,大马士革,33.5086,36.3084,2319545,Capital
塔吉克斯坦,杜尚别,38.5358,68.7791,872653,Capital
北马其顿,斯科普里,42.0000,21.4333,584208,Capital
泰国,曼谷,13.7220,100.5252,10156316,Capital
东帝汶,帝力,-8.5601,125.5668,281135,Capital
多哥,洛美,6.1375,1.2123,1745744,Capital
托克劳,托克劳,-9.3800,-171.2500,0,Others
汤加,努库阿洛法,-21.1394,-175.2032,22904,Capital
特立尼达和多巴哥,西班牙港,10.6662,-61.5166,544417,Capital
突尼斯,突尼斯市,36.8190,10.1658,2290777,Capital
土耳其,安卡拉,39.9199,32.8543,4919074,Capital
土库曼斯坦,阿什哈巴德,37.9500,58.3833,810186,Capital
特克斯和凯科斯群岛,科伯恩城,21.4612,-71.1419,5447,Capital
图瓦卢,富纳富提,-8.5189,179.1991,7042,Capital
乌干达,坎帕拉,0.3163,32.5822,2986352,Capital
乌克兰,基辅,50.4454,30.5186,2956706,Capital
阿拉伯联合酋长国,阿布扎比,24.4648,54.3618,1419699,Capital
英国,伦敦,51.5085,-0.1257,9046485,Capital
坦桑尼亚,多多马,-6.1722,35.7395,261645,Capital
美国,华盛顿哥伦比亚特区,38.8951,-77.0364,5206593,Capital
美属维尔京群岛,夏洛特阿马利亚,18.3419,-64.9307,52322,Capital
乌拉圭,蒙得维的亚,-34.8335,-56.1674,1736989,Capital
乌兹别克斯坦,塔什干,41.2647,69.2163,2463969,Capital
瓦努阿图,维拉港,-17.7338,168.3219,52690,Capital
委内瑞拉,加拉加斯,10.4880,-66.8792,2934560,Capital
越南,河内,21.0245,105.8412,4282738,Capital
瓦利斯和富图纳,马塔乌图,-13.2816,-176.1745,1025,Capital
西撒哈拉,阿尤恩,27.1532,-13.2014,232388,Capital
也门,萨那,15.3531,44.2078,2779317,Capital
赞比亚,卢萨卡,-15.4134,28.2771,2523844,Capital
津巴布韦,哈拉雷,-17.8294,31.0539,1515016,Capital
